season,team,incident,type,min
20/21,Fulham,Penalty awarded (missed by Ademola Lookman) for foul on Tom Cairney by Saïd Benrahma,FOR,95
20/21,Fulham,Penalty awarded (scored by Ivan Cavaleiro) for foul on Bobby De Cordova-Reid by Christian Fuchs,FOR,35
20/21,Fulham,Penalty review rejected by referee Andre Marriner following Fabinho challenge on Ivan Cavaleiro,AGAINST,16
20/21,Fulham,Adam Lallana goal disallowed for handball in the build-up by Danny Welbeck,FOR,49
20/21,Fulham,Joachim Andersen sent off for denying a goal-scoring opportunity following challenge on Callum Wilson,AGAINST,62
20/21,Fulham,Goal (scored by Theo Walcott) disallowed for offside against Che Adams,FOR,85
20/21,Fulham,Tomas Soucek sent off for elbow on Aleksandar Mitrovic,FOR,90
20/21,Fulham,Josh Maja goal disallowed for handball in the build-up by Mario Lemina,AGAINST,64
20/21,Fulham,Luke Ayling goal disallowed for offside against Tyler Roberts in the build-up,FOR,8
20/21,Fulham,Penalty cancelled. Mario Lemina adjudged not to have fouled Ollie Watkins,FOR,45
20/21,Fulham,Willian Jose goal disallowed for offside in the build-up against Daniel Podence,FOR,45
20/21,Fulham,Dani Ceballos goal disallowed for offside in the build-up against Bukayo Saka,FOR,40
20/21,Sheffield United,Penalty awarded (scored by Billy Sharp) for foul on Jack Robinson by Aleksandar Mitrovic,FOR,85
20/21,Sheffield United,Penalty awarded (scored by Sander Berge) for foul on Oliver McBurnie by Fabinho. Factual decision on where foul took place,FOR,10
20/21,Sheffield United,Mohamed Salah goal disallowed for offside,FOR,62
20/21,Sheffield United,John Lundstram sent off for challenge on Joel Veltman,AGAINST,40
20/21,Sheffield United,Penalty awarded (scored by Billy Sharp) for handball by Federico Fernandez,FOR,73
20/21,Sheffield United,Penalty for Ben Chilwell's challenge on Chris Basham cancelled for offside,AGAINST,11
20/21,Sheffield United,Penalty awarded (scored by Jorginho) for Aaron Ramsdale's challenge on Timo Werner,AGAINST,58
20/21,Sheffield United,Penalty cancelled after Craig Dawson ruled offside before being fouled by Edna Stevens,FOR,5
20/21,Sheffield United,Phil Jagielka sent off for professional foul on Anwar El Ghazi,AGAINST,57
20/21,Sheffield United,Jakub Moder goal disallowed for offside,FOR,56
20/21,Sheffield United,Son Heung-Min goal disallowed for offside,FOR,50
20/21,Aston Villa,Bobby Decordova-Reid goal disallowed for foul in the build-up by Aleksandar Mitrovic,FOR,56
20/21,Aston Villa,Ezri Konsa own goal disallowed for offside against Che Adams,FOR,3
